Performance.KDTMean,Performance.MAMean,Performance.MVMean,Performance.TBCMean,Performance.DDCMean,Performance.DMSMean,Performance.AEDMean,Performance.ADMSLMean,ExhaustionLevel,Performance.Task
"0,8427414104","0,4498712019","0,3598516608","0,3723897089","0,2964253278","0,2313207013","0,1769403342","0,3151142443","0,6",0
"0,510767753","0,4509449126","0,3602500184","0,3901101008","0,2062722914","0,2328645856","0,1939573258","0,3445319997","0,6",0
"0,5008705233","0,4557285683","0,3637854553","0,3668554107","0,6281456722","0,237638086","0,1633905671","0,3828145665","0,8",0
"0,4998345376","0,4589246059","0,370768899","0,3746140169","0,2251799204","0,2231809752","0,2014545998","0,2962366624","0,8",0
"0,5037820288","0,4732432872","0,3858991372","0,3766489126","0,2558573944","0,2455139702","0,232467916","0,3625570397","0,8",0
"0,5010932795","0,4468634574","0,3560098953","0,3636852759","0,2124433473","0,2274833894","0,1656881922","0,3039714764","0,8",0
"0,5012433463","0,412373948","0,3190938365","0,3647293278","0,1719005052","0,2258640193","0,2204688352","0,2783038904","0,8",0
"0,5371411421","0,4392967816","0,3533278718","0,385347559","0,1838853016","0,2311519796","0,1576116134","0,3032099932","0,4",0
"0,5003977233","0,433866311","0,3485104983","0,3606983607","0,2408903952","0,2244034725","0,2052987605","0,2820724305","0,4",0
"0,5080714054","0,4093695487","0,3227448664","0,3770536162","0,2855156614","0,2329357735","0,1620993826","0,2961849198","0,4",0
"0,4993921064","0,4124168353","0,3163583699","0,3612555949","0,2621997645","0,2263432697","0,1613272128","0,2899007047","0,6",0
"0,5004844231","0,4503215849","0,36447082","0,3848251944","0,1768624111","0,2273809609","0,1805869959","0,2926101176","0,4",0
"0,4998970506","0,4466066984","0,3529183053","0,3611960156","0,2151972171","0,2467069066","0,1669808551","0,33863551","0,6",0
"0,5112507462","0,4614989471","0,3833866111","0,3626181696","0,3746294268","0,2250742613","0,1723597234","0,2845087417","0,8",0
"0,5008738255","0,484772619","0,409075279","0,3767039073","0,1688057213","0,2214222804","0,1514052746","0,340329954",1,0
"0,5014229353","0,4852175732","0,3983849186","0,3714475144","0,17242987","0,2558230777","0,178034278","0,3940231462","0,2",0
"0,5012645883","0,4139390558","0,319533477","0,3639513866","0,2349962136","0,2203720489","0,1961828803","0,2614052623","0,2",0
"0,5002899989","0,4250220147","0,3388214997","0,3629554357","0,1688057213","0,2406577261","0,2253204991","0,3358072627","0,2",0
"0,5014435224","0,4179230285","0,3261268502","0,3796018574","0,1976186042","0,2318668683","0,1545632033","0,3218018067","0,4",0
"0,5006481335","0,4182141128","0,3280228542","0,369218223","0,2444347798","0,2416946595","0,1654910793","0,346210804","0,4",0
"0,499620178","0,4313662023","0,341022433","0,3697414856","0,2247360663","0,2354157892","0,1936097836","0,3204067846","0,4",0
"0,4997452433","0,4840118307","0,3966603141","0,3623053508","0,4864012923","0,2423725097","0,1837163139","0,3089532312","0,4",0
"0,5009500002","0,4557120952","0,3663435051","0,360771841","0,2059124627","0,234257827","0,1618076651","0,3181636269","0,4",0
"0,5004568996","0,4255970227","0,3361882759","0,3687685675","0,2232830544","0,2246626947","0,1637813498","0,2979173168","0,4",0
"0,5005058242","0,4710974318","0,3866151446","0,3608888238","0,1910659844","0,2320889659","0,2422154353","0,30370141","0,4",0
"0,4997533502","0,4424405465","0,3555534815","0,362875051","0,2163331951","0,2285031986","0,1904914871","0,3232211561","0,4",0
"0,5008163463","0,441823535","0,3537990102","0,360713735","0,2480177378","0,2378502602","0,2287208688","0,3119167989","0,4",0
"0,5013580391","0,4104383437","0,3181593841","0,3615935177","0,2272555136","0,2223183419","0,1960318132","0,2944949553","0,4",0
"0,5028586587","0,4140207135","0,3255148412","0,3667171082","0,2627114177","0,2296397395","0,1931662831","0,2870946121","0,4",0
"0,4980201715","0,3853164763","0,2927117983","0,369117579","0,2520801225","0,2241047475","0,1620989227","0,2798677725","0,4",0
"0,4885222954","0,3918826326","0,2974628485","0,3693956213","0,2243268342","0,2273851255","0,2527455769","0,2667059124","0,6",0
"0,5037031097","0,3845453017","0,2925891007","0,3770225583","0,2136353575","0,2180601232","0,1895857818","0,2542752949","0,6",0
"0,5027101818","0,3730642981","0,2681463984","0,365941752","0,1688057213","0,2289474883","0,459836149","0,2601317738","0,6",0
"0,5022099731","0,4021836709","0,320313949","0,3805764714","0,2461321597","0,2180546836","0,1336284701","0,2748376842","0,6",0
"0,5005652744","0,4573697067","0,300558527","0,3640650097","0,1887438035","0,2395676018","0,1378087504","0,3326849663","0,6",0
"0,4998612223","0,4247950582","0,2907712519","0,3711390142","0,2409800156","0,2468598853","0,2336154524","0,3555035558","0,6",0
"0,5647160663","0,4593540416","0,345743323","0,4042026723","0,2309514998","0,2258442869","0,1391501811","0,2942334085","0,6",0
"0,5056626076","0,3842068442","0,2895804477","0,3837963317","0,2537696181","0,2327465325","0,1498741055","0,3099817872","0,4",0
"0,5015381683","0,3894485105","0,2947310781","0,3607453811","0,2299235249","0,2379262865","0,1958446333","0,3085686381","0,4",0
"0,500037219","0,4185287425","0,3278121416","0,3855671006","0,1688057213","0,2295875629","0,172265648","0,2857901793","0,2",0
"0,500251656","0,5083800255","0,4158025603","0,3617357873","0,3928281778","0,2355695307","0,1819103173","0,3352377114","0,2",0
"0,500784749","0,4510594535","0,3602056934","0,371511257","0,2458821724","0,2245127005","0,2259923126","0,2897000722","0,4",0
"0,5019490118","0,4331322495","0,3387446603","0,3648768743","0,2092140604","0,2322863808","0,1867629779","0,2879764168","0,6",0
"0,4997478745","0,4237692421","0,3340140131","0,3617100663","0,2380848312","0,2263669438","0,1943140395","0,2910302087","0,4",0
"0,5136564687","0,393757138","0,3004900848","0,3935489866","0,238497905","0,2286588156","0,1993906137","0,2831085818","0,4",0
"0,5006057321","0,4404213173","0,3444278768","0,3720308287","0,2469118419","0,2275636858","0,2002551686","0,2907529868","0,4",0
"0,5001309681","0,4697164946","0,3832917714","0,3612615149","0,2327352746","0,2348374603","0,1707362833","0,3434825863","0,4",0
"0,5135534134","0,4758076321","0,3912119072","0,374307209","0,2254020508","0,2396020814","0,2216495871","0,3340042391","0,6",0
"0,5026594343","0,4169385244","0,3263012188","0,3642604166","0,2142243259","0,2357967373","0,2268000666","0,2981557884","0,6",0
"0,5097837501","0,4472063526","0,3594243386","0,3733858475","0,2253563547","0,2476303659","0,1714217382","0,3796613169","0,8",0
"0,5093339339","0,4442316002","0,3521692006","0,3703311618","0,2105318818","0,2395603326","0,2298962705","0,2917588665","0,6",0
"0,5432017314","0,4347859467","0,3349037532","0,4006584736","0,3370016132","0,2422403902","0,2076675828","0,3262322789","0,6",0
"0,5050204675","0,4378807504","0,3457725834","0,3738433066","0,3006534904","0,2319356552","0,1796830836","0,3327997899","0,6",0
"0,5004660438","0,4565406131","0,3670264295","0,3733758528","0,2242451866","0,2368056631","0,1774726346","0,3398346521","0,4",0
"0,504751435","0,4272673757","0,3330913854","0,3647628543","0,2546636341","0,2350222804","0,1840098804","0,3209520385","0,4",0
"0,5030390302","0,4383188151","0,3462867647","0,3841742696","0,2406884949","0,2427346166","0,1767979251","0,3521360851","0,6",0
"0,5005064057","0,3935316118","0,3028304927","0,3710748397","0,1688057213","0,2170506752","0,1794954546","0,2515168945","0,4",0
"0,5018024099","0,4291217653","0,3429638843","0,3864941346","0,1993585012","0,2205474181","0,1809691985","0,2673771897","0,6",0
"0,502497715","0,4385622809","0,3454012022","0,3803777183","0,2508459931","0,2311673495","0,188142879","0,3075589049","0,8",0
"0,499897169","0,4400279222","0,3507228007","0,3655193775","0,2451369583","0,2260489671","0,194943437","0,3078982442","0,8",0
"0,4998379754","0,4839921169","0,392091791","0,3651772054","0,2375585486","0,2229615141","0,162854826","0,274047491","0,6",0
"0,5049086304","0,467809005","0,3750170677","0,3756086372","0,2096103265","0,2241441623","0,201356173","0,2867646739",0,0
"0,5266463849","0,4046868649","0,3123769856","0,3916459388","0,2725624448","0,2304158295","0,2044311293","0,2988254908","0,2",0
"0,5457456758","0,4599394739","0,3746156757","0,3887709822","0,3816898434","0,2426370391","0,2228488127","0,3037739737","0,2",0
"0,533499068","0,4308222873","0,3363640948","0,3834557766","0,246854428","0,2256550104","0,191997007","0,2766018776","0,2",0
"0,5003058259","0,4343552716","0,3381266043","0,3731932018","0,2042679868","0,2244166842","0,163643981","0,2943799644","0,2",0
"0,5021555997","0,4647822024","0,3751818024","0,3715085738","0,1901074866","0,2440528353","0,1787683167","0,3371057532","0,4",0
"0,499080498","0,3810775082","0,2830308669","0,3619600003","0,2278744924","0,2706907459","0,1785631654","0,39764309","0,4",0
"0,5008789958","0,3865951739","0,2930826304","0,3700663265","0,1872942901","0,2280211832","0,1615952592","0,2978961489","0,4",0
"0,5005280218","0,4409597804","0,3453419575","0,3736170528","0,2694305635","0,2633713642","0,1816193688","0,3790060749","0,4",0
"0,5002290223","0,4315018097","0,3419085738","0,3605994767","0,1990252254","0,2333041182","0,1940468676","0,3138388941","0,6",0
"0,4995616594","0,4236323103","0,3303385708","0,3657483089","0,3774051566","0,2380118287","0,1617310329","0,3355874426","0,6",0
"0,5014346722","0,4714866","0,3766127777","0,3706331794","0,2313270458","0,2461017648","0,2160921438","0,3320300336","0,6",0
